Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-02-21,43.2075,43.529999,42.752499,42.767502,40.771168,149886400,1
2018-02-22,42.950001,43.487499,42.927502,43.125,41.111973,123967600,2
2018-02-23,43.4175,43.912498,43.384998,43.875,41.826965,135249600,3
2018-02-26,44.087502,44.8475,44.052502,44.7425,42.653973,152648800,4
2018-02-27,44.775002,45.119999,44.540001,44.5975,42.515728,155712400,5
2018-02-28,44.814999,45.154999,44.512501,44.529999,42.451385,151128400,6
2018-03-01,44.634998,44.945,43.165001,43.75,41.70779,195208000,7
2018-03-02,43.200001,44.075001,43.112499,44.052502,41.99617,153816000,8
2018-03-05,43.802502,44.435001,43.630001,44.205002,42.141567,113605600,9
2018-03-06,44.477501,44.5625,44.032501,44.1675,42.105801,95154000,10
2018-03-07,43.735001,43.962502,43.567501,43.7575,41.714947,126814000,11
2018-03-08,43.869999,44.279999,43.767502,44.235001,42.170143,95096400,12
2018-03-09,44.490002,45,44.3475,44.994999,42.894688,128740800,13
2018-03-12,45.072498,45.5975,45.052502,45.43,43.309372,128828400,14
2018-03-13,45.647499,45.875,44.810001,44.9925,42.8923,126774000,15
2018-03-14,45.080002,45.130001,44.452499,44.610001,42.527657,117473600,16
2018-03-15,44.625,45.060001,44.517502,44.662498,42.577709,90975200,17
2018-03-16,44.662498,44.779999,44.404999,44.505001,42.427563,157618800,18
2018-03-19,44.330002,44.3675,43.415001,43.825001,41.779301,133787200,19
2018-03-20,43.810001,44.200001,43.735001,43.810001,41.764992,78597600,20
2018-03-21,43.759998,43.772499,42.814999,42.817501,40.818836,148219600,21
2018-03-22,42.5,43.169998,42.150002,42.212502,40.242073,165963200,22
2018-03-23,42.0975,42.48,41.235001,41.235001,39.310196,164115200,23
2018-03-26,42.017502,43.275002,41.610001,43.192501,41.176327,150164800,24
2018-03-27,43.419998,43.787498,41.73,42.084999,40.120522,163690400,25
2018-03-28,41.8125,42.505001,41.297501,41.619999,39.677223,166674000,26
2018-03-29,41.952499,42.9375,41.724998,41.945,39.987053,153594000,27
2018-04-02,41.66,42.235001,41.1175,41.669998,39.72488,150347200,28
2018-04-03,41.91,42.1875,41.220001,42.0975,40.132435,121112000,29
2018-04-04,41.220001,43.002499,41.192501,42.9025,40.899857,138422000,30
2018-04-05,43.145,43.557499,43.02,43.200001,41.183464,107732800,31
2018-04-06,42.7425,43.119999,42.049999,42.095001,40.130054,140021200,32
2018-04-09,42.470001,43.272499,42.462502,42.512501,40.528061,116070800,33
2018-04-10,43.25,43.5,42.8825,43.3125,41.290718,113634400,34
2018-04-11,43.057499,43.48,42.924999,43.110001,41.097679,89726400,35
2018-04-12,43.352501,43.75,43.259998,43.535,41.502834,91557200,36
2018-04-13,43.695,43.959999,43.462502,43.682499,41.64344,100497200,37
2018-04-16,43.7575,44.047501,43.7075,43.955002,41.903233,86313600,38
2018-04-17,44.122501,44.735001,44.102501,44.560001,42.479992,106421600,39
2018-04-18,44.452499,44.705002,44.220001,44.459999,42.384655,83018000,40
2018-04-19,43.439999,43.8475,43.165001,43.200001,41.183464,139235200,41
2018-04-20,42.650002,42.805,41.357498,41.43,39.496086,261964400,42
2018-04-23,41.7075,41.73,41.022499,41.310001,39.381695,146062000,43
2018-04-24,41.4175,41.5825,40.305,40.735001,38.833534,134768000,44
2018-04-25,40.654999,41.355,40.602501,40.912498,39.00275,113528400,45
2018-04-26,41.029999,41.432499,40.842499,41.055,39.138599,111852000,46
2018-04-27,41,41.0825,40.157501,40.580002,38.685772,142623200,47
2018-04-30,40.532501,41.814999,40.459999,41.314999,39.386459,169709600,48
2018-05-01,41.602501,42.299999,41.317501,42.275002,40.301659,214277600,49
2018-05-02,43.807499,44.4375,43.450001,44.142502,42.081978,266157600,50
2018-05-03,43.970001,44.375,43.610001,44.2225,42.158249,136272800,51
2018-05-04,44.5625,46.0625,44.5425,45.9575,43.812252,224805200,52
2018-05-07,46.294998,46.9175,46.1875,46.290001,44.12923,169805600,53
2018-05-08,46.247501,46.555,45.9175,46.512501,44.341343,113611200,54
2018-05-09,46.637501,46.849998,46.305,46.84,44.653557,92844800,55
2018-05-10,46.935001,47.592499,46.912498,47.509998,45.292282,111957200,56
2018-05-11,47.372501,47.514999,46.862499,47.147499,45.120022,104848800,57
2018-05-14,47.252499,47.3825,46.965,47.037498,45.014755,83115200,58
2018-05-15,46.695,46.767502,46.275002,46.610001,44.605633,94780800,59
2018-05-16,46.517502,47.115002,46.5,47.044998,45.021935,76732400,60
2018-05-17,47,47.227501,46.59,46.747501,44.737228,69176000,61
2018-05-18,46.797501,46.952499,46.532501,46.577499,44.574539,73190800,62
2018-05-21,47,47.317501,46.727501,46.907501,44.890343,73603200,63
2018-05-22,47.095001,47.220001,46.695,46.790001,44.777901,60962800,64
2018-05-23,46.587502,47.125,46.439999,47.09,45.064999,80233600,65
2018-05-24,47.192501,47.209999,46.552502,47.037498,45.014755,92936000,66
2018-05-25,47.057499,47.412498,46.912498,47.145,45.117638,69844000,67
2018-05-29,46.900002,47.1875,46.717499,46.974998,44.954933,90056400,68
2018-05-30,46.93,47,46.695,46.875,44.85923,74762000,69
2018-05-31,46.805,47.057499,46.535,46.717499,44.708515,109931200,70
2018-06-01,46.997501,47.564999,46.9375,47.560001,45.514786,93770000,71
2018-06-04,47.91,48.355,47.837502,47.9575,45.895184,105064800,72
2018-06-05,48.267502,48.485001,48.09,48.327499,46.249287,86264000,73
2018-06-06,48.407501,48.52,47.98,48.494999,46.40958,83734400,74
2018-06-07,48.535,48.549999,48.084999,48.365002,46.285164,85388800,75
2018-06-08,47.7925,48,47.442501,47.924999,45.864086,106627200,76
2018-06-11,47.837502,47.9925,47.552502,47.807499,45.751648,73234000,77
2018-06-12,47.8475,48.1525,47.787498,48.07,46.002853,67644400,78
2018-06-13,48.105,48.220001,47.610001,47.674999,45.624836,86553600,79
2018-06-14,47.887501,47.892502,47.555,47.700001,45.648766,86440400,80
2018-06-15,47.5075,47.540001,47.064999,47.209999,45.17984,246876800,81
2018-06-18,46.970001,47.305,46.799999,47.185001,45.155918,73939600,82
2018-06-19,46.285,46.5825,45.862499,46.422501,44.426205,134314000,83
2018-06-20,46.587502,46.799999,46.432499,46.625,44.619995,82514800,84
2018-06-21,46.8125,47.087502,46.235001,46.365002,44.37117,102847600,85
2018-06-22,46.529999,46.537498,46.174999,46.23,44.241974,108801600,86
2018-06-25,45.849998,46.23,45.182499,45.5425,43.584045,126652400,87
2018-06-26,45.747501,46.6325,45.634998,46.107498,44.124744,98276800,88
2018-06-27,46.307499,46.82,46.0075,46.040001,44.060154,101141200,89
2018-06-28,46.025002,46.552502,45.950001,46.375,44.380737,69460800,90
2018-06-29,46.572498,46.797501,45.727501,46.2775,44.287437,90950800,91
2018-07-02,45.955002,46.825001,45.855,46.794998,44.782677,70925200,92
2018-07-03,46.947498,46.987499,45.884998,45.98,44.002728,55819200,93
2018-07-05,46.314999,46.602501,46.07,46.349998,44.356819,66416800,94
2018-07-06,46.355,47.107498,46.299999,46.9925,44.971695,69940800,95
2018-07-09,47.375,47.669998,47.325001,47.645,45.59613,79026400,96
2018-07-10,47.677502,47.82,47.544998,47.587502,45.541107,63756400,97
2018-07-11,47.125,47.445,46.9025,46.970001,44.950161,75326000,98
2018-07-12,47.3825,47.852501,47.327499,47.7575,45.7038,72164400,99
2018-07-13,47.77,47.959999,47.724998,47.8325,45.775562,50055600,100
2018-07-16,47.880001,48.162498,47.605,47.727501,45.675076,60172400,101
2018-07-17,47.4375,47.967499,47.299999,47.862499,45.804276,62138000,102
2018-07-18,47.945,47.950001,47.482498,47.599998,45.553051,65573600,103
2018-07-19,47.422501,48.137501,47.422501,47.970001,45.907154,81147200,104
2018-07-20,47.945,48.107498,47.5425,47.860001,45.801884,82704800,105
2018-07-23,47.669998,47.990002,47.389999,47.9025,45.84256,63957600,106
2018-07-24,48.112499,48.415001,48.012501,48.25,46.175106,74791600,107
2018-07-25,48.264999,48.712502,48.107498,48.705002,46.61055,66839600,108
2018-07-26,48.6525,48.990002,48.4025,48.552502,46.464619,76304000,109
2018-07-27,48.747501,48.797501,47.525002,47.744999,45.691833,96096000,110
2018-07-30,47.974998,48.049999,47.267502,47.477501,45.435833,84118000,111
2018-07-31,47.575001,48.035,47.334999,47.572498,45.526745,157492000,112
2018-08-01,49.782501,50.439999,49.327499,50.375,48.208736,271742800,113
2018-08-02,50.145,52.095001,50.087502,51.8475,49.617908,249616000,114
2018-08-03,51.7575,52.185001,51.369999,51.997501,49.761467,133789600,115
2018-08-06,52,52.3125,51.767502,52.267502,50.019848,101701600,116
2018-08-07,52.330002,52.375,51.689999,51.7775,49.550922,102349600,117
2018-08-08,51.512501,51.952499,51.130001,51.8125,49.584415,90102000,118
2018-08-09,52.3825,52.445,51.799999,52.220001,49.974392,93970400,119
2018-08-10,51.84,52.275002,51.6675,51.8825,49.825542,98444800,120
2018-08-13,52.327499,52.737499,51.924999,52.217499,50.147259,103563600,121
2018-08-14,52.540001,52.639999,52.064999,52.4375,50.358543,82992000,122
2018-08-15,52.305,52.685001,52.0825,52.560001,50.476185,115230400,123
2018-08-16,52.9375,53.452499,52.8675,53.330002,51.215656,114001600,124
2018-08-17,53.360001,54.487499,53.290001,54.395,52.238434,141708000,125
2018-08-20,54.525002,54.794998,53.7775,53.865002,51.729439,121150800,126
2018-08-21,54.200001,54.297501,53.5075,53.759998,51.628605,104639200,127
2018-08-22,53.525002,54.09,53.459999,53.762501,51.631016,76072400,128
2018-08-23,53.662498,54.262501,53.650002,53.872501,51.736652,75532800,129
2018-08-24,54.150002,54.224998,53.7775,54.040001,51.897503,73905600,130
2018-08-27,54.287498,54.685001,54.0825,54.485001,52.32486,82100400,131
2018-08-28,54.752499,55.134998,54.73,54.924999,52.74741,91107200,132
2018-08-29,55.037498,55.872501,54.852501,55.744999,53.534901,109019200,133
2018-08-30,55.8125,57.064999,55.599998,56.2575,54.027084,195175200,134
2018-08-31,56.627499,57.217499,56.5,56.907501,54.651318,173360400,135
2018-09-04,57.102501,57.294998,56.657501,57.09,54.826572,109560400,136
2018-09-05,57.247501,57.4175,56.275002,56.717499,54.468845,133332000,137
2018-09-06,56.557499,56.837502,55.325001,55.775002,53.563721,137160000,138
2018-09-07,55.462502,56.342499,55.177502,55.325001,53.131557,150479200,139
2018-09-10,55.237499,55.462502,54.1175,54.5825,52.418491,158066000,140
